date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:48:44	41981/41981	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2007:48:14%20GMT	https://pub.dev/packages/intro_slider	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider.html	(from )
10:49:04	88677/88677	---MC-	200	added ('OK')	application/javascript	date:Wed,%2010%20Mar%202021%2006:00:00%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-MX6DBN9	C:/My%20Web%20Sites/flutter%20package/intro%20slider/www.googletagmanager.com/gtme317.js	(from https://pub.dev/packages/intro_slider)
10:49:09	1600/1600	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2012%20Oct%202020%2012:02:48%20GMT	https://pub.dev/static/js/gtm.js?hash=fltt8rc82ob3timp0tvnk6b136c2fqn0	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/static/js/gtm5e5d.js	(from https://pub.dev/packages/intro_slider)
10:49:11	1135/1135	---M--	200	added ('OK')	image/png	etag:4hh64sfc160bkthaobnlp5brguc4hfne	https://pub.dev/static/img/flutter-logo-32x32.png?hash=4hh64sfc160bkthaobnlp5brguc4hfne	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/static/img/flutter-logo-32x327ee8.png	(from https://pub.dev/packages/intro_slider)
10:51:06	37025/37025	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Mar%202021%2018:55:33%20GMT	https://pub.dev/static/css/style.css?hash=ifmve487br90s62h28mnd6ga5o01knp0	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/static/css/stylea18f.css	(from https://pub.dev/packages/intro_slider)
10:52:07	411820/411820	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2003%20Mar%202021%2018:55:17%20GMT	https://pub.dev/static/js/script.dart.js?hash=iqc0s90rf5t0l55l7tkqq32on0qtrus1	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/static/js/script.dart42fe.js	(from https://pub.dev/packages/intro_slider)
10:52:10	28634/28634	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2007:52:06%20GMT	https://pub.dev/packages/intro_slider/changelog	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/changelog.html	(from https://pub.dev/packages/intro_slider)
10:52:18	30843/30843	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2007:52:10%20GMT	https://pub.dev/packages/intro_slider/example	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/example.html	(from https://pub.dev/packages/intro_slider)
10:52:22	18341/18341	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2007:52:18%20GMT	https://pub.dev/packages/intro_slider/install	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/install.html	(from https://pub.dev/packages/intro_slider)
10:52:27	68716/68716	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2007:52:22%20GMT	https://pub.dev/packages/intro_slider/versions	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions.html	(from https://pub.dev/packages/intro_slider)
10:52:36	27948/27948	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2007:52:27%20GMT	https://pub.dev/packages/intro_slider/score	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/score.html	(from https://pub.dev/packages/intro_slider)
10:52:53	158/158	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Mar%202021%2007:52:52%20GMT	https://github.com/duytq94/flutter-intro-slider/raw/master/screenshots/custom.gif	C:/My%20Web%20Sites/flutter%20package/intro%20slider/github.com/duytq94/flutter-intro-slider/raw/master/screenshots/custom.12.delayed	(from https://pub.dev/packages/intro_slider)
10:54:05	159/159	---M--	302	error ('Found')	text/html	date:Wed,%2010%20Mar%202021%2007:54:04%20GMT	https://github.com/duytq94/flutter-intro-slider/raw/master/screenshots/custom3.jpg	C:/My%20Web%20Sites/flutter%20package/intro%20slider/github.com/duytq94/flutter-intro-slider/raw/master/screenshots/custom3.17.delayed	(from https://pub.dev/packages/intro_slider)
10:54:16	37383/37383	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20Mar%202021%2007:54:12%20GMT	https://raw.githubusercontent.com/duytq94/flutter-intro-slider/master/screenshots/custom3.jpg	C:/My%20Web%20Sites/flutter%20package/intro%20slider/raw.githubusercontent.com/duytq94/flutter-intro-slider/master/screenshots/custom3.jpg	(from https://pub.dev/packages/intro_slider)
10:54:30	527/527	---M--	200	added ('OK')	image/png	etag:c47ejrlqq8ag0bnr78qa70vce3gf91k7	https://pub.dev/static/img/bug-report-white-96px.png?hash=c47ejrlqq8ag0bnr78qa70vce3gf91k7	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/static/img/bug-report-white-96px172f.png	(from https://pub.dev/packages/intro_slider)
10:55:21	4608914/4608914	---M--	200	added ('OK')	image/gif	date:Wed,%2010%20Mar%202021%2007:52:53%20GMT	https://raw.githubusercontent.com/duytq94/flutter-intro-slider/master/screenshots/custom.gif	C:/My%20Web%20Sites/flutter%20package/intro%20slider/raw.githubusercontent.com/duytq94/flutter-intro-slider/master/screenshots/custom.gif	(from https://pub.dev/packages/intro_slider)
10:55:39	6290/6290	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Feb%202020%2014:51:50%20GMT	https://pub.dev/static/css/github-markdown.css?hash=t2ti0tfkd3q7dsh5njovil42c3bnhf5s	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/static/css/github-markdowne1e8.css	(from https://pub.dev/packages/intro_slider)
10:55:42	61294/61294	---M--	200	added ('OK')	image/png	etag:40uful0p6884ep2h7lt96a8cf5s68lsh	https://pub.dev/static/img/square-bg-full-2x.png?hash=40uful0p6884ep2h7lt96a8cf5s68lsh	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/static/img/square-bg-full-2xe23f.png	(from https://pub.dev/static/css/style.css?hash=ifmve487br90s62h28mnd6ga5o01knp0)
10:56:08	298824/298824	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2017%20Feb%202020%2014:51:50%20GMT	https://pub.dev/static/material/material-components-web.min.js?hash=igi6ia9p8nu341u56joei27dp56mljuv	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/static/material/material-components-web.mina8ff.js	(from https://pub.dev/packages/intro_slider)
10:56:25	41958/41958	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2007:56:08%20GMT	https://pub.dev/packages/intro_slider/versions/2.3.3	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/2.3.html	(from https://pub.dev/packages/intro_slider/versions)
10:57:34	41837/41837	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2007:57:20%20GMT	https://pub.dev/packages/intro_slider/versions/2.2.9	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/2.2.html	(from https://pub.dev/packages/intro_slider/versions)
10:59:36	40359/40359	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2007:59:34%20GMT	https://pub.dev/packages/intro_slider/versions/2.2.2	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/2.2-2.html	(from https://pub.dev/packages/intro_slider/versions)
10:59:48	40113/40113	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2007:59:36%20GMT	https://pub.dev/packages/intro_slider/versions/2.2.1	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/2.2-3.html	(from https://pub.dev/packages/intro_slider/versions)
11:00:04	40113/40113	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2007:59:54%20GMT	https://pub.dev/packages/intro_slider/versions/2.2.0	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/2.2-4.html	(from https://pub.dev/packages/intro_slider/versions)
11:00:38	39529/39529	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:00:23%20GMT	https://pub.dev/packages/intro_slider/versions/2.1.0	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/2.1.html	(from https://pub.dev/packages/intro_slider/versions)
11:01:15	39643/39643	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:01:00%20GMT	https://pub.dev/packages/intro_slider/versions/2.0.2	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/2.0.html	(from https://pub.dev/packages/intro_slider/versions)
11:01:28	39311/39311	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:01:23%20GMT	https://pub.dev/packages/intro_slider/versions/2.0.0	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/2.0-2.html	(from https://pub.dev/packages/intro_slider/versions)
11:01:55	34319/34319	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:01:46%20GMT	https://pub.dev/packages/intro_slider/versions/1.2.2	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/1.2.html	(from https://pub.dev/packages/intro_slider/versions)
11:02:25	34696/34696	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:02:16%20GMT	https://pub.dev/packages/intro_slider/versions/1.2.0	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/1.2-2.html	(from https://pub.dev/packages/intro_slider/versions)
11:02:52	34339/34339	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:02:42%20GMT	https://pub.dev/packages/intro_slider/versions/1.1.8	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/1.1.html	(from https://pub.dev/packages/intro_slider/versions)
11:04:04	32078/32078	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:03:28%20GMT	https://pub.dev/packages/intro_slider/versions/1.1.5	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/1.1-2.html	(from https://pub.dev/packages/intro_slider/versions)
11:04:33	29664/29664	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:04:31%20GMT	https://pub.dev/packages/intro_slider/versions/1.1.2	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/1.1-3.html	(from https://pub.dev/packages/intro_slider/versions)
11:04:54	29372/29372	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:04:33%20GMT	https://pub.dev/packages/intro_slider/versions/1.1.1	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/1.1-4.html	(from https://pub.dev/packages/intro_slider/versions)
11:05:21	28596/28596	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:05:20%20GMT	https://pub.dev/packages/intro_slider/versions/1.0.8	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/1.0.html	(from https://pub.dev/packages/intro_slider/versions)
11:05:28	28542/28542	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:05:22%20GMT	https://pub.dev/packages/intro_slider/versions/1.0.7	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/1.0-2.html	(from https://pub.dev/packages/intro_slider/versions)
11:05:54	27333/27333	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:05:52%20GMT	https://pub.dev/packages/intro_slider/versions/1.0.5	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/1.0-3.html	(from https://pub.dev/packages/intro_slider/versions)
11:05:56	26757/26757	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:05:54%20GMT	https://pub.dev/packages/intro_slider/versions/1.0.4	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/1.0-4.html	(from https://pub.dev/packages/intro_slider/versions)
11:06:06	26745/26745	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:05:56%20GMT	https://pub.dev/packages/intro_slider/versions/1.0.3	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/intro_slider/versions/1.0-5.html	(from https://pub.dev/packages/intro_slider/versions)
11:08:22	27656/27656	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:08:11%20GMT	https://pub.dev/packages/characters	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/characters.html	(from https://pub.dev/packages/intro_slider/score)
11:09:04	18383/18383	---MCZ	200	added ('OK')	text/html	date:Wed,%2010%20Mar%202021%2008:08:56%20GMT	https://pub.dev/packages/sky_engine	C:/My%20Web%20Sites/flutter%20package/intro%20slider/pub.dev/packages/sky_engine.html	(from https://pub.dev/packages/intro_slider/score)
